Atom;a;b;c
Mg;0.497155;0.497155;0.124289
Mg;0.497155;0.497155;0.374289
Mg;0.497155;0.497155;0.624289
Mg;0.497155;0.497155;0.874289
Ti;0.982209;0.982209;0.245552
Ti;0.982209;0.982209;0.495552
Ti;0.982209;0.982209;0.745552
Ti;0.982209;0.982209;0.995552
O;0.524065;0.012736;0.003184
O;0.524065;0.012736;0.253184
O;0.524065;0.012736;0.503184
O;0.524065;0.012736;0.753184
O;0.012736;0.012736;0.131016
O;0.012736;0.012736;0.381016
O;0.012736;0.012736;0.631016
O;0.012736;0.012736;0.881016
O;0.012736;0.524065;0.003184
O;0.012736;0.524065;0.253184
O;0.012736;0.524065;0.503184
O;0.012736;0.524065;0.753184
