Source,Target,Type,Id,Label,Weight,capacity,distance
0,39,Directed,38,,1,9.057432,10.52205
0,15,Directed,14,,1,0.689635,9.497949
0,23,Directed,22,,1,0.689635,9.497949
0,31,Directed,30,,1,0.689635,9.497949
0,35,Directed,34,,1,2.384348,8.826637
0,37,Directed,36,,1,2.384348,8.826637
0,38,Directed,37,,1,2.384348,8.826637
0,14,Directed,13,,1,0.264571,8.591218
0,21,Directed,20,,1,0.264571,8.591218
0,27,Directed,26,,1,0.264571,8.591218
0,47,Directed,46,,1,1.394329,8.349163
0,55,Directed,54,,1,1.394329,8.349163
0,63,Directed,62,,1,1.394329,8.349163
0,11,Directed,10,,1,0.053783,7.576742
0,13,Directed,12,,1,0.053783,7.576742
0,19,Directed,18,,1,0.053783,7.576742
0,22,Directed,21,,1,0.053783,7.576742
0,29,Directed,28,,1,0.053783,7.576742
0,30,Directed,29,,1,0.053783,7.576742
0,43,Directed,42,,1,0.170875,7.301131
0,45,Directed,44,,1,0.170875,7.301131
0,51,Directed,50,,1,0.170875,7.301131
0,54,Directed,53,,1,0.170875,7.301131
0,61,Directed,60,,1,0.170875,7.301131
0,62,Directed,61,,1,0.170875,7.301131
0,7,Directed,6,,1,0.001109,7.0147
0,33,Directed,32,,1,-0.109418,6.716064
0,34,Directed,33,,1,-0.109418,6.716064
0,36,Directed,35,,1,-0.109418,6.716064
0,10,Directed,9,,1,-0.04441,6.403516
0,12,Directed,11,,1,-0.04441,6.403516
0,17,Directed,16,,1,-0.04441,6.403516
0,20,Directed,19,,1,-0.04441,6.403516
0,25,Directed,24,,1,-0.04441,6.403516
0,26,Directed,25,,1,-0.04441,6.403516
0,41,Directed,40,,1,-0.231339,6.074909
0,46,Directed,45,,1,-0.231339,6.074909
0,50,Directed,49,,1,-0.231339,6.074909
0,59,Directed,58,,1,-0.231339,6.074909
0,60,Directed,59,,1,-0.231339,6.074909
0,53,Directed,52,,1,-0.231339,6.074908
0,3,Directed,2,,1,-0.121643,5.727479
0,5,Directed,4,,1,-0.121643,5.727479
0,6,Directed,5,,1,-0.121643,5.727479
0,9,Directed,8,,1,-0.304961,4.960142
0,18,Directed,17,,1,-0.304961,4.960142
0,28,Directed,27,,1,-0.304961,4.960142
0,42,Directed,41,,1,-0.495055,4.527969
0,44,Directed,43,,1,-0.495055,4.527969
0,49,Directed,48,,1,-0.495055,4.527969
0,52,Directed,51,,1,-0.495055,4.527969
0,57,Directed,56,,1,-0.495055,4.527969
0,58,Directed,57,,1,-0.495055,4.527969
0,1,Directed,0,,1,-0.896093,4.049939
0,2,Directed,1,,1,-0.896093,4.049939
0,4,Directed,3,,1,-0.896093,4.049939
0,32,Directed,31,,1,-1.368367,3.50735
0,8,Directed,7,,1,-3.466065,2.863739
0,16,Directed,15,,1,-3.466065,2.863739
0,24,Directed,23,,1,-3.466065,2.863739
0,40,Directed,39,,1,-7.551904,2.02497
0,48,Directed,47,,1,-7.551904,2.02497
0,56,Directed,55,,1,-7.551904,2.02497
1,14,Directed,76,,1,0.689635,9.497949
1,38,Directed,100,,1,2.384348,8.826637
1,39,Directed,101,,1,2.384348,8.826637
1,15,Directed,77,,1,0.264571,8.591218
1,54,Directed,116,,1,1.394329,8.349163
1,62,Directed,124,,1,1.394329,8.349163
1,10,Directed,72,,1,0.053783,7.576742
1,12,Directed,74,,1,0.053783,7.576742
1,22,Directed,84,,1,0.053783,7.576742
1,23,Directed,85,,1,0.053783,7.576742
1,30,Directed,92,,1,0.053783,7.576742
1,31,Directed,93,,1,0.053783,7.576742
1,50,Directed,112,,1,0.170875,7.301131
1,55,Directed,117,,1,0.170875,7.301131
1,60,Directed,122,,1,0.170875,7.301131
1,63,Directed,125,,1,0.170875,7.301131
1,6,Directed,68,,1,0.001109,7.0147
1,34,Directed,96,,1,-0.109418,6.716064
1,35,Directed,97,,1,-0.109418,6.716064
1,36,Directed,98,,1,-0.109418,6.716064
1,37,Directed,99,,1,-0.109418,6.716064
1,11,Directed,73,,1,-0.04441,6.403516
1,13,Directed,75,,1,-0.04441,6.403516
1,20,Directed,82,,1,-0.04441,6.403516
1,21,Directed,83,,1,-0.04441,6.403516
1,26,Directed,88,,1,-0.04441,6.403516
1,27,Directed,89,,1,-0.04441,6.403516
1,46,Directed,108,,1,-0.231339,6.074909
1,47,Directed,109,,1,-0.231339,6.074909
1,51,Directed,113,,1,-0.231339,6.074909
1,58,Directed,120,,1,-0.231339,6.074909
1,61,Directed,123,,1,-0.231339,6.074909
1,52,Directed,114,,1,-0.231339,6.074908
1,2,Directed,64,,1,-0.121643,5.727479
1,4,Directed,66,,1,-0.121643,5.727479
1,7,Directed,69,,1,-0.121643,5.727479
1,8,Directed,70,,1,-0.304961,4.960142
1,18,Directed,80,,1,-0.304961,4.960142
1,19,Directed,81,,1,-0.304961,4.960142
1,28,Directed,90,,1,-0.304961,4.960142
1,29,Directed,91,,1,-0.304961,4.960142
1,42,Directed,104,,1,-0.495055,4.527969
1,43,Directed,105,,1,-0.495055,4.527969
1,44,Directed,106,,1,-0.495055,4.527969
1,45,Directed,107,,1,-0.495055,4.527969
1,48,Directed,110,,1,-0.495055,4.527969
1,53,Directed,115,,1,-0.495055,4.527969
1,56,Directed,118,,1,-0.495055,4.527969
1,59,Directed,121,,1,-0.495055,4.527969
1,0,Directed,63,,1,-0.896093,4.049939
1,3,Directed,65,,1,-0.896093,4.049939
1,5,Directed,67,,1,-0.896093,4.049939
1,32,Directed,94,,1,-1.368367,3.50735
1,33,Directed,95,,1,-1.368367,3.50735
1,9,Directed,71,,1,-3.466065,2.863739
1,16,Directed,78,,1,-3.466065,2.863739
1,17,Directed,79,,1,-3.466065,2.863739
1,24,Directed,86,,1,-3.466065,2.863739
1,25,Directed,87,,1,-3.466065,2.863739
1,40,Directed,102,,1,-7.551904,2.02497
1,41,Directed,103,,1,-7.551904,2.02497
1,49,Directed,111,,1,-7.551904,2.02497
1,57,Directed,119,,1,-7.551904,2.02497
2,21,Directed,146,,1,0.689635,9.497949
2,37,Directed,162,,1,2.384348,8.826637
2,39,Directed,164,,1,2.384348,8.826637
2,23,Directed,148,,1,0.264571,8.591218
2,45,Directed,170,,1,1.394329,8.349163
2,61,Directed,186,,1,1.394329,8.349163
2,13,Directed,138,,1,0.053783,7.576742
2,15,Directed,140,,1,0.053783,7.576742
2,17,Directed,142,,1,0.053783,7.576742
2,20,Directed,145,,1,0.053783,7.576742
2,29,Directed,154,,1,0.053783,7.576742
2,31,Directed,156,,1,0.053783,7.576742
2,41,Directed,166,,1,0.170875,7.301131
2,47,Directed,172,,1,0.170875,7.301131
2,60,Directed,185,,1,0.170875,7.301131
2,63,Directed,188,,1,0.170875,7.301131
2,5,Directed,130,,1,0.001109,7.0147
2,33,Directed,158,,1,-0.109418,6.716064
2,35,Directed,160,,1,-0.109418,6.716064
2,36,Directed,161,,1,-0.109418,6.716064
2,38,Directed,163,,1,-0.109418,6.716064
2,12,Directed,137,,1,-0.04441,6.403516
2,14,Directed,139,,1,-0.04441,6.403516
2,19,Directed,144,,1,-0.04441,6.403516
2,22,Directed,147,,1,-0.04441,6.403516
